id,year,gender,school_dependence,ivm_colegio,nem,nem_score,rank_score,ptje_ponderado,ptje_leng_paes,ptje_m1_paes,ptje_m2_paes,alerta_cero,deserta,target
1,2024,M,Particular Subvencionado,0.0,6.13,751.0,784.0,757.25,865.0,995.0,862.0,Riesgo Bajo,0.0,0
4,2024,M,Particular Subvencionado,0.0,6.63,893.0,909.0,795.2,925.0,992.0,858.0,Riesgo Bajo,0.0,0
47,2024,M,Particular Subvencionado,0.0,5.7,630.0,638.0,563.6,864.0,661.0,485.0,Riesgo Bajo,0.0,0
48,2024,F,Municipal,0.0,6.63,895.0,917.0,676.1,785.0,534.0,412.0,Riesgo Bajo,1.0,0
49,2024,M,Particular Subvencionado,0.0,6.28,793.0,795.0,648.6,807.0,598.0,447.0,Riesgo Medio,0.0,1
50,2024,M,Municipal,0.0,5.9,685.0,694.0,687.85,738.0,967.0,810.0,Riesgo Mínimo,0.0,0
51,2024,F,Particular Subvencionado,0.0,6.18,765.0,770.0,614.75,615.0,567.0,425.0,Riesgo Alto,1.0,1
52,2024,M,Particular Subvencionado,0.0,5.93,694.0,725.0,586.0500000000001,648.0,548.0,418.0,Riesgo Alto,0.0,1
53,2024,F,Particular Subvencionado,0.0,6.3,799.0,826.0,738.5500000000001,832.0,915.0,724.0,Riesgo Mínimo,0.0,0
54,2024,M,Particular Subvencionado,0.0,5.3,510.0,510.0,531.3,641.0,707.0,525.0,Riesgo Bajo,0.0,0
55,2024,F,Municipal,0.0,5.58,595.0,595.0,532.9,688.0,524.0,407.0,Riesgo Alto,1.0,1
56,2024,M,Municipal,0.0,6.25,787.0,861.0,633.3000000000001,728.0,524.0,407.0,Riesgo Medio,1.0,1
57,2024,M,Particular Subvencionado,0.0,5.98,709.0,749.0,655.2,785.0,707.0,525.0,Riesgo Bajo,1.0,0
58,2024,M,Municipal,0.0,6.38,823.0,862.0,665.1500000000001,701.0,638.0,478.0,Riesgo Medio,0.0,1
60,2024,F,Particular Subvencionado,0.0,6.58,879.0,952.0,811.65,815.0,1000.0,977.0,Riesgo Bajo,0.0,0
68,2024,M,Particular Subvencionado,0.0,5.68,623.0,623.0,548.8,641.0,520.0,403.0,Riesgo Alto,1.0,1
69,2024,M,Municipal,0.0,6.05,729.0,794.0,646.0999999999999,875.0,623.0,471.0,Riesgo Medio,0.0,1
